iter	Passed	Remaining
0	0	196
1	1	192
2	2	181
3	3	158
4	4	160
5	5	166
6	6	169
7	6	160
8	7	161
9	8	164
10	9	165
11	10	165
12	11	158
13	12	160
14	12	156
15	13	158
16	14	158
17	15	158
18	16	158
19	17	158
20	19	164
21	20	163
22	20	160
23	21	160
24	22	159
25	23	159
26	24	158
27	25	158
28	26	157
29	27	155
30	28	154
31	29	154
32	30	153
33	31	155
34	32	152
35	33	151
36	34	150
37	35	150
38	36	149
39	37	148
40	38	147
41	38	146
42	39	145
43	40	144
44	41	143
45	42	142
46	44	143
47	44	142
48	46	141
49	47	141
50	48	140
51	48	139
52	49	138
53	50	137
54	51	136
55	52	135
56	53	134
57	54	133
58	55	132
59	56	131
60	57	131
61	58	130
62	59	129
63	60	128
64	61	127
65	62	126
66	63	125
67	64	125
68	65	124
69	66	123
70	67	122
71	68	121
72	69	120
73	70	119
74	71	118
75	72	117
76	73	116
77	74	115
78	75	114
79	75	113
80	76	112
81	77	111
82	78	111
83	79	110
84	80	109
85	81	108
86	82	107
87	83	106
88	84	105
89	85	104
90	86	103
91	87	102
92	88	101
93	89	100
94	90	99
95	91	99
96	92	98
97	93	97
98	94	96
99	95	95
100	97	95
101	98	94
102	99	93
103	100	92
104	101	91
105	102	90
106	103	89
107	103	88
108	104	87
109	105	86
110	106	85
111	107	84
112	108	83
113	109	82
114	110	81
115	111	80
116	112	79
117	113	78
118	114	77
119	115	76
120	116	75
121	116	74
122	117	73
123	118	72
124	119	71
125	120	70
126	121	69
127	122	68
128	123	67
129	124	67
130	125	66
131	126	65
132	127	64
133	128	63
134	129	62
135	130	61
136	131	60
137	132	59
138	133	58
139	134	57
140	135	56
141	136	55
142	137	54
143	138	53
144	139	53
145	140	52
146	141	51
147	142	50
148	143	49
149	144	48
150	145	47
151	146	46
152	147	45
153	148	44
154	149	43
155	149	42
156	150	41
157	151	40
158	152	39
159	153	38
160	154	37
161	155	36
162	156	35
163	157	34
164	158	33
165	159	32
166	160	31
167	161	30
168	162	29
169	163	28
170	164	27
171	165	26
172	166	26
173	167	25
174	168	24
175	169	23
176	170	22
177	171	21
178	172	20
179	173	19
180	174	18
181	175	17
182	176	16
183	177	15
184	178	14
185	180	13
186	181	12
187	182	11
188	183	10
189	184	9
190	185	8
191	185	7
192	186	6
193	187	5
194	188	4
195	189	3
196	190	2
197	191	1
198	192	0
199	193	0
