Stall_ID,State,GI_Product,Is_Registered_GI,Monthly_Income_Bracket,Has_Govt_ID,Ecommerce_Active,Govt_Interaction_Rating,Fair_Beneficial,Wants_More_Events,Year,Income_Numeric,Govt_Interaction_Score,State_Region,Years_Registered,Digital_Adoption_Index
1,Bihar,Others,1,<50K,0,0,Good,1,1,2015,25000.0,3,East,1,0.10354394693648968
1,Bihar,Others,1,<50K,0,0,Good,1,1,2016,25000.0,3,East,4,-0.01031627530623641
1,Bihar,Others,1,<50K,0,0,Good,1,1,2017,25000.0,3,East,5,-0.028675578051250806
1,Bihar,Others,1,<50K,0,0,Good,1,1,2018,25000.0,3,East,3,-0.1761113057435852
1,Bihar,Others,1,<50K,0,0,Good,1,1,2019,25000.0,3,East,0,0.06352869959886136
1,Bihar,Others,1,<50K,0,0,Good,1,1,2020,25000.0,3,East,6,-0.050416927503885225
1,Bihar,Others,1,<50K,0,1,Good,1,1,2021,25000.0,3,East,3,0.6281664257236813
1,Bihar,Others,1,<50K,0,0,Good,1,1,2022,25000.0,3,East,0,-0.10547903737358438
1,Bihar,Others,1,<50K,0,0,Good,1,1,2023,25000.0,3,East,3,0.12774490829464968
1,Bihar,Others,1,<50K,0,0,Good,1,1,2024,25000.0,3,East,3,0.09881396589747923
1,Bihar,Others,1,<50K,0,0,Good,1,1,2025,25000.0,3,East,12,0.06652665874633701
2,Other,Banaras Zardozi,1,<50K,1,0,Good,1,1,2015,25000.0,3,Other,1,0.27492525135694335
2,Other,Banaras Zardozi,1,<50K,1,1,Good,1,1,2016,25000.0,3,Other,0,1.035307306410681
2,Other,Banaras Zardozi,1,200K+,1,0,Good,1,1,2017,250000.0,3,Other,4,0.4164492566997007
2,Other,Banaras Zardozi,1,50K-100K,1,0,Good,1,1,2018,75000.0,3,Other,5,0.4640669076537161
2,Other,Banaras Zardozi,1,50K-100K,1,0,Good,1,1,2019,75000.0,3,Other,2,0.4779388327939253
2,Other,Banaras Zardozi,1,<50K,1,0,Good,1,1,2020,25000.0,3,Other,1,0.45887063261985817
2,Other,Banaras Zardozi,1,50K-100K,1,0,Good,1,1,2021,75000.0,3,Other,9,0.42444798148412766
2,Other,Banaras Zardozi,1,<50K,1,0,Good,1,1,2022,25000.0,3,Other,1,0.5497971767297793
2,Other,Banaras Zardozi,1,200K+,1,1,Good,1,1,2023,250000.0,3,Other,11,0.9770237537243485
2,Other,Banaras Zardozi,1,<50K,1,0,Good,1,1,2024,25000.0,3,Other,1,0.3493371323699622
2,Other,Banaras Zardozi,1,<50K,1,0,Good,1,1,2025,25000.0,3,Other,4,0.4899232012686291
3,Punjab,Others,1,<50K,1,0,Good,1,1,2015,25000.0,3,North,4,0.5239230808848719
3,Punjab,Others,1,<50K,1,0,Good,1,1,2016,25000.0,3,North,4,0.49061859724349066
3,Punjab,Others,1,<50K,1,0,Good,1,1,2017,25000.0,3,North,5,0.34095403294026405
3,Punjab,Others,1,<50K,1,0,Good,1,1,2018,25000.0,3,North,5,0.335990711461437
3,Punjab,Others,1,<50K,1,0,Good,1,1,2019,25000.0,3,North,4,0.41128332987234917
3,Punjab,Others,1,<50K,1,0,Good,1,1,2020,25000.0,3,North,0,0.48205409666309623
3,Punjab,Others,1,50K-100K,1,1,Good,1,1,2021,75000.0,3,North,8,1.0560759174208616
3,Punjab,Others,1,<50K,1,0,Good,1,1,2022,25000.0,3,North,10,0.5505352013836927
3,Punjab,Others,1,<50K,1,0,Good,1,1,2023,25000.0,3,North,9,0.3551798370064118
3,Punjab,Others,1,100K-200K,1,0,Good,1,1,2024,150000.0,3,North,1,0.45905322418618083
